mean_delta,std_delta,mean_abs_delta,std_abs_delta,max_abs_delta,forward_ratio,backward_ratio,zero_ratio,unique_cache_lines,mean_cl_delta,std_cl_delta,unique_pages,read_ratio,write_ratio,unique_ip_count
92181136021.752,4602246665426.229,460905680154.104,4579992248303.151,46090568015528.0,0.994,0.006,0.0,36,16596701.66733467,64543806616.98148,4,0.0,0.0,6
3.736,3723.7984650515987,3461.384,1364.367772773443,6008.0,0.518,0.482,0.0,82,0.058,58.27038279453846,2,0.0,0.0,3
3.392,2901.090724040568,2636.176,1205.3996489344531,4984.0,0.5,0.5,0.0,82,0.054,45.41519750401464,2,0.0,0.0,2
