mean_delta,std_delta,mean_abs_delta,std_abs_delta,max_abs_delta,forward_ratio,backward_ratio,zero_ratio,unique_cache_lines,mean_cl_delta,std_cl_delta,unique_pages,read_ratio,write_ratio,unique_ip_count
93386840168.272,5521817886393.7705,653707882036.928,5483705040735.156,46693420147376.0,0.98,0.02,0.0,42,14502038.991983969,80082978781.95479,4,0.0,0.0,6
-0.544,480.9437199793497,114.016,467.206013083439,3580.0,0.984,0.016,0.0,37,-0.008,7.512710405391021,2,0.0,0.0,1
5.664,452.9033649908555,105.904,440.3583424024654,3580.0,0.986,0.014,0.0,38,0.088,7.072502852115818,2,0.0,0.0,1
-0.544,480.94371997934974,114.016,467.2060130834391,3580.0,0.984,0.016,0.0,34,-0.008,7.512710405391022,2,0.0,0.0,1
13.792,423.9673163188563,99.712,412.28203697471963,3580.0,0.988,0.012,0.0,38,0.214,6.636889376899572,2,0.0,0.0,1
-0.544,480.9437199793497,114.016,467.206013083439,3580.0,0.984,0.016,0.0,33,-0.008,7.512710405391021,2,0.0,0.0,1
5.664,452.9033649908555,105.904,440.35834240246544,3580.0,0.986,0.014,0.0,41,0.088,7.072502852115818,2,0.0,0.0,1
-0.544,480.9437199793497,114.016,467.206013083439,3580.0,0.984,0.016,0.0,36,-0.008,7.512710405391021,2,0.0,0.0,1
5.664,452.9033649908555,105.904,440.3583424024654,3580.0,0.986,0.014,0.0,44,0.088,7.072502852115818,2,0.0,0.0,1
-0.544,480.94371997934974,114.016,467.2060130834391,3580.0,0.984,0.016,0.0,39,-0.008,7.512710405391022,2,0.0,0.0,1
13.792,423.9673163188563,99.712,412.28203697471963,3580.0,0.988,0.012,0.0,46,0.216,6.620044862988162,2,0.0,0.0,1
-0.544,480.9437199793497,114.016,467.206013083439,3580.0,0.984,0.016,0.0,38,-0.008,7.512710405391021,2,0.0,0.0,1
5.664,452.90336499085555,105.904,440.3583424024654,3580.0,0.986,0.014,0.0,43,0.088,7.072502852115818,2,0.0,0.0,1
-0.544,480.9437199793497,114.016,467.206013083439,3580.0,0.984,0.016,0.0,35,-0.008,7.512710405391022,2,0.0,0.0,1
5.664,452.90336499085555,105.904,440.3583424024654,3580.0,0.986,0.014,0.0,40,0.088,7.072502852115818,2,0.0,0.0,1
7.584,453.910573308358,107.824,440.9570583158376,3580.0,0.986,0.014,0.0,32,0.118,7.10584703777449,2,0.0,0.0,1
5.664,452.9033649908555,105.904,440.35834240246544,3580.0,0.986,0.014,0.0,40,0.088,7.072502852115819,2,0.0,0.0,1
-0.544,480.9437199793497,114.016,467.206013083439,3580.0,0.984,0.016,0.0,35,-0.008,7.512710405391021,2,0.0,0.0,1
5.664,452.9033649908555,105.904,440.35834240246544,3580.0,0.986,0.014,0.0,43,0.088,7.072502852115818,2,0.0,0.0,1
-0.544,480.94371997934974,114.016,467.2060130834391,3580.0,0.984,0.016,0.0,38,-0.008,7.512710405391022,2,0.0,0.0,1
13.792,423.9673163188563,99.712,412.28203697471963,3580.0,0.988,0.012,0.0,46,0.216,6.620044862988161,2,0.0,0.0,1
-0.544,480.9437199793497,114.016,467.206013083439,3580.0,0.984,0.016,0.0,39,-0.008,7.512710405391021,1,0.0,0.0,1
5.664,452.90336499085555,105.904,440.3583424024654,3580.0,0.986,0.014,0.0,44,0.088,7.072502852115818,2,0.0,0.0,1
-0.544,480.9437199793497,114.016,467.206013083439,3580.0,0.984,0.016,0.0,36,-0.008,7.512710405391021,1,0.0,0.0,1
5.664,452.90336499085555,105.904,440.3583424024654,3580.0,0.986,0.014,0.0,41,0.088,7.072502852115818,2,0.0,0.0,1
-0.544,480.94371997934974,114.016,467.2060130834391,3580.0,0.984,0.016,0.0,33,-0.008,7.512710405391022,1,0.0,0.0,1
13.792,423.9673163188563,99.712,412.28203697471963,3580.0,0.988,0.012,0.0,39,0.214,6.636889376899572,2,0.0,0.0,1
-0.544,480.9437199793497,114.016,467.206013083439,3580.0,0.984,0.016,0.0,34,-0.008,7.512710405391021,1,0.0,0.0,1
5.664,452.9033649908555,105.904,440.3583424024654,3580.0,0.986,0.014,0.0,42,0.088,7.072502852115818,2,0.0,0.0,1
-0.544,480.9437199793497,114.016,467.206013083439,3580.0,0.984,0.016,0.0,37,-0.008,7.512710405391022,1,0.0,0.0,1
5.664,452.9033649908555,105.904,440.3583424024654,3580.0,0.986,0.014,0.0,45,0.088,7.072502852115818,2,0.0,0.0,1
7.584,453.910573308358,107.824,440.9570583158376,3580.0,0.986,0.014,0.0,40,0.12,7.090143882923753,1,0.0,0.0,1
