mean_delta,std_delta,mean_abs_delta,std_abs_delta,max_abs_delta,forward_ratio,backward_ratio,zero_ratio,unique_cache_lines,mean_cl_delta,std_cl_delta,unique_pages,read_ratio,write_ratio,unique_ip_count
93722923685.816,4682906541373.511,468614618431.192,4660297793570.137,46861461843368.0,0.994,0.006,0.0,36,11012259.0501002,65622720979.6393,3,0.0,0.0,7
-0.048,46626093895556.01,46299124299850.16,5107632678989.554,46861461842956.0,0.506,0.494,0.0,33,-0.002,728532717117.8572,2,0.0,0.0,3
-1.544,46908393713304.38,46861461841910.664,585.5595401443923,46861461842944.0,0.5,0.5,0.0,33,-0.024,732943651770.1547,2,0.0,0.0,2
