mean_delta,std_delta,mean_abs_delta,std_abs_delta,max_abs_delta,forward_ratio,backward_ratio,zero_ratio,unique_cache_lines,mean_cl_delta,std_cl_delta,unique_pages,read_ratio,write_ratio,unique_ip_count
92714527823.928,4619561334296.079,463572639164.984,4597132788937.71,46357263916616.0,0.994,0.006,0.0,36,31712980.68737475,64920073622.18848,4,0.0,0.0,6
4.888,3704.0492227757304,3442.952,1357.32485545003,5944.0,0.518,0.482,0.0,81,0.076,57.88733982680884,2,0.0,0.0,3
2.544,2910.5997853165195,2639.728,1220.4382101793321,5032.0,0.5,0.5,0.0,81,0.04,45.48084668109928,2,0.0,0.0,2
