mean_delta,std_delta,mean_abs_delta,std_abs_delta,max_abs_delta,forward_ratio,backward_ratio,zero_ratio,unique_cache_lines,mean_cl_delta,std_cl_delta,unique_pages,read_ratio,write_ratio,unique_ip_count
93289575397.528,4654214075800.988,466447877018.968,4631675658741.14,46644787700888.0,0.994,0.006,0.0,35,22200670.56312625,65320723741.02258,4,0.0,0.0,6
-1.712,486.42475176975574,129.168,468.92874523985455,3596.0,0.98,0.02,0.0,36,-0.026,7.572582916287422,2,0.0,0.0,2
0.4,1079.8804209017283,647.6,863.6640963607815,3236.0,0.9,0.1,0.0,41,0.006,16.88585883089498,2,0.0,0.0,1
