mean_delta,std_delta,mean_abs_delta,std_abs_delta,max_abs_delta,forward_ratio,backward_ratio,zero_ratio,unique_cache_lines,mean_cl_delta,std_cl_delta,unique_pages,read_ratio,write_ratio,unique_ip_count
1257718.912,2928547676481.8413,185345476466.464,2922664829261.7715,46258076358368.0,0.502,0.498,0.0,65,-1448442118.5771544,32356187523.685505,4,0.0,0.0,6
8.0,445117548.7808699,314430744.0,314745627.1586028,628863480.0,0.5,0.5,0.0,65,0.126,6954961.568401428,3,0.0,0.0,4
-0.784,97520693.92011565,15092757.52,96343333.53923853,628863672.0,0.972,0.028,0.0,126,-0.012,1523760.8134253777,4,0.0,0.0,6
