mean_delta,std_delta,mean_abs_delta,std_abs_delta,max_abs_delta,forward_ratio,backward_ratio,zero_ratio,unique_cache_lines,mean_cl_delta,std_cl_delta,unique_pages,read_ratio,write_ratio,unique_ip_count
92062309885.4,4601411528482.574,460311549472.344,4579210539273.47,46031154947352.0,0.994,0.006,0.0,36,8477237.703406814,64459821135.32141,5,0.0,0.0,6
5.016,3745.826870215341,3481.864,1372.43283744254,6032.0,0.518,0.482,0.0,82,0.078,58.563532087649584,3,0.0,0.0,3
0.288,2908.7426749291362,2639.44,1216.6261993800872,5064.0,0.5,0.5,0.0,82,0.004,45.48434494714133,3,0.0,0.0,2
