mean_delta,std_delta,mean_abs_delta,std_abs_delta,max_abs_delta,forward_ratio,backward_ratio,zero_ratio,unique_cache_lines,mean_cl_delta,std_cl_delta,unique_pages,read_ratio,write_ratio,unique_ip_count
91967860596.64,5444084209107.224,643775025198.816,5406593296759.526,45983930362864.0,0.75,0.25,0.0,36,2741100.5711422847,78865525121.62578,5,0.0,0.0,6
4.048,358.11718407675187,253.984,252.24430642583093,508.0,0.754,0.246,0.0,35,0.064,5.59665517056361,2,0.0,0.0,1
4.048,358.11718407675187,253.984,252.24430642583093,508.0,0.754,0.246,0.0,35,0.064,5.59665517056361,2,0.0,0.0,1
4.048,358.11718407675187,253.984,252.24430642583093,508.0,0.754,0.246,0.0,33,0.062,5.599362617606301,2,0.0,0.0,1
4.048,358.11718407675187,253.984,252.24430642583093,508.0,0.754,0.246,0.0,35,0.064,5.59665517056361,2,0.0,0.0,1
4.048,358.11718407675187,253.984,252.24430642583093,508.0,0.754,0.246,0.0,34,0.064,5.59665517056361,2,0.0,0.0,1
4.048,358.11718407675187,253.984,252.24430642583093,508.0,0.754,0.246,0.0,33,0.062,5.599362617606301,2,0.0,0.0,1
4.048,358.11718407675187,253.984,252.24430642583093,508.0,0.754,0.246,0.0,35,0.064,5.59665517056361,2,0.0,0.0,1
4.048,358.11718407675187,253.984,252.24430642583093,508.0,0.754,0.246,0.0,33,0.062,5.599362617606301,2,0.0,0.0,1
4.048,358.1171840767518,253.984,252.24430642583093,508.0,0.754,0.246,0.0,35,0.064,5.59665517056361,2,0.0,0.0,1
4.048,358.1171840767518,253.984,252.24430642583093,508.0,0.754,0.246,0.0,35,0.064,5.59665517056361,2,0.0,0.0,1
4.048,358.1171840767518,253.984,252.24430642583093,508.0,0.754,0.246,0.0,33,0.062,5.599362617606301,2,0.0,0.0,1
4.048,358.1171840767518,253.984,252.24430642583093,508.0,0.754,0.246,0.0,35,0.064,5.59665517056361,2,0.0,0.0,1
4.048,358.1171840767518,253.984,252.24430642583093,508.0,0.754,0.246,0.0,34,0.064,5.59665517056361,2,0.0,0.0,1
4.048,358.1171840767518,253.984,252.24430642583093,508.0,0.754,0.246,0.0,33,0.062,5.599362617606301,2,0.0,0.0,1
4.048,358.1171840767518,253.984,252.24430642583093,508.0,0.754,0.246,0.0,35,0.064,5.59665517056361,2,0.0,0.0,1
4.048,358.1171840767518,253.984,252.24430642583093,508.0,0.754,0.246,0.0,33,0.062,5.599362617606301,2,0.0,0.0,1
4.048,358.1171840767518,253.984,252.24430642583093,508.0,0.754,0.246,0.0,35,0.064,5.59665517056361,2,0.0,0.0,1
4.048,358.1171840767518,253.984,252.24430642583093,508.0,0.754,0.246,0.0,35,0.064,5.59665517056361,2,0.0,0.0,1
4.048,358.1171840767518,253.984,252.24430642583093,508.0,0.754,0.246,0.0,33,0.062,5.599362617606301,2,0.0,0.0,1
3.024,358.84858092524786,254.992,252.25036060400328,508.0,0.752,0.248,0.0,33,0.048,5.608261869991879,1,0.0,0.0,1
4.048,358.11718407675187,253.984,252.24430642583093,508.0,0.754,0.246,0.0,33,0.064,5.59665517056361,2,0.0,0.0,1
4.048,358.11718407675187,253.984,252.24430642583093,508.0,0.754,0.246,0.0,33,0.062,5.599362617606301,1,0.0,0.0,1
4.048,358.11718407675187,253.984,252.24430642583093,508.0,0.754,0.246,0.0,35,0.064,5.59665517056361,2,0.0,0.0,1
4.048,358.11718407675187,253.984,252.24430642583093,508.0,0.754,0.246,0.0,33,0.062,5.599362617606301,1,0.0,0.0,1
4.048,358.11718407675187,253.984,252.24430642583093,508.0,0.754,0.246,0.0,35,0.064,5.59665517056361,2,0.0,0.0,1
4.048,358.11718407675187,253.984,252.24430642583093,508.0,0.754,0.246,0.0,35,0.064,5.59665517056361,1,0.0,0.0,1
4.048,358.11718407675187,253.984,252.24430642583093,508.0,0.754,0.246,0.0,33,0.062,5.599362617606301,2,0.0,0.0,1
4.048,358.11718407675187,253.984,252.24430642583093,508.0,0.754,0.246,0.0,35,0.064,5.59665517056361,1,0.0,0.0,1
4.048,358.11718407675187,253.984,252.24430642583093,508.0,0.754,0.246,0.0,34,0.064,5.59665517056361,2,0.0,0.0,1
4.048,358.11718407675187,253.984,252.24430642583093,508.0,0.754,0.246,0.0,33,0.062,5.599362617606301,1,0.0,0.0,1
4.048,358.1171840767518,253.984,252.24430642583093,508.0,0.754,0.246,0.0,35,0.064,5.59665517056361,2,0.0,0.0,1
