fold,score
0,0.8270933799592161
1,0.8353034800288601
2,0.838994325852848
3,0.8315152153446602
4,0.8339908932451956
5,0.8308046595661485
6,0.8277493806331515
7,0.8211659438663765
8,0.8177935459626804
9,0.8343013092988991
