fold,score
0,0.8014616480697456
1,0.8141259232256084
2,0.8037263456347863
3,0.7977360002673339
4,0.8152207390955513
5,0.7929215814936834
6,0.8095235808598795
7,0.7913642247675566
8,0.791916765902775
9,0.8221552322059744
