fold,score
0,0.467700439660123
1,0.4337569685047739
2,0.4597949639257374
3,0.4579737481796912
4,0.49221075737258435
5,0.47935671788557355
6,0.43974675597840696
7,0.4974725946267028
8,0.4794623064750059
9,0.4570472993822776
