thread_id,ip,mem_addr,access_type,size,delta,abs_delta,direction,cache_line,cl_delta,page
0,94800788545969,140722951162176,0,8,45922162604376.0,45922162604376.0,1,2198796111909,,34356189248
0,94800788545684,94800788557776,0,8,-45922162604400.0,45922162604400.0,-1,1481262321215,-717533790694.0,23144723768
0,94800788545668,94800788557768,0,8,-8.0,8.0,-1,1481262321215,0.0,23144723768
0,94800788546029,94801697845920,1,4,909288152.0,909288152.0,1,1481276528842,14207627.0,23144945763
0,94800788546035,94801697845928,1,8,8.0,8.0,1,1481276528842,0.0,23144945763
0,94800788545668,94800788557768,0,8,-909288160.0,909288160.0,-1,1481262321215,-14207627.0,23144723768
0,94800788546029,94801697845952,1,4,909288184.0,909288184.0,1,1481276528843,14207628.0,23144945763
0,94800788546035,94801697845960,1,8,8.0,8.0,1,1481276528843,0.0,23144945763
0,94800788546058,94801697845928,1,8,-32.0,32.0,-1,1481276528842,-1.0,23144945763
0,94800788546113,94801697845920,0,4,-8.0,8.0,-1,1481276528842,0.0,23144945763
0,94800788546122,94801697845928,0,8,8.0,8.0,1,1481276528842,0.0,23144945763
0,94800788546113,94801697845952,0,4,24.0,24.0,1,1481276528843,1.0,23144945763
0,94800788546122,94801697845960,0,8,8.0,8.0,1,1481276528843,0.0,23144945763
0,94800788545652,94800788557760,0,8,-909288200.0,909288200.0,-1,1481262321215,-14207628.0,23144723768
0,94800788545860,94800788557840,0,1,80.0,80.0,1,1481262321216,1.0,23144723769
0,94800788545870,94800788557816,0,8,-24.0,24.0,-1,1481262321215,-1.0,23144723768
0,94800788545883,94800788557832,0,8,16.0,16.0,1,1481262321216,1.0,23144723769
0,94800788545636,94800788557816,0,8,-16.0,16.0,-1,1481262321215,-1.0,23144723768
0,94800788545900,94800788557840,1,1,24.0,24.0,1,1481262321216,1.0,23144723769
